FECHA,PM10,TEMP,HUMEDAD,DIR VIENTO ,Monto V,Velocidad V,Tem/Hum,Tem/Hum/Vient,PRESION ATM,LLUVIA,Intens lluv,RADIACION SOL,Radiac acum,Max Rad,UV Intens,Max UV,DENSIDAD AIRE
MAY,11.86,18.17,67.09,7.24,1.22,4.23,17.98,17.79,552.02,0.00,0.03,143.32,2.05,183.76,1.74,2.19,0.87
JUN,15.64,17.24,66.97,7.37,1.30,4.50,16.94,16.66,552.45,0.00,0.01,145.20,2.08,178.40,1.63,1.98,0.88
JUL,13.60,16.91,65.82,7.07,1.58,5.37,16.54,15.97,553.07,0.00,0.00,138.57,1.99,183.59,1.47,1.86,0.88
AGO,16.78,16.76,62.94,7.94,1.61,5.44,16.26,15.77,552.38,0.01,0.06,155.85,2.23,192.88,1.71,2.13,0.88
SEP,21.74,17.20,60.68,7.87,1.51,5.12,16.63,16.27,552.39,0.00,0.02,187.51,2.69,230.48,2.10,2.55,0.87
OCT,18.93,16.97,69.95,7.55,0.95,3.43,16.72,16.61,550.95,0.01,0.04,132.21,1.90,166.58,1.52,1.87,0.87
NOV,20.76,17.02,75.03,6.73,1.04,3.42,16.96,16.64,550.90,0.01,0.07,173.52,2.49,213.24,2.10,2.46,0.86
DIC,20.27,16.66,75.31,8.09,0.73,2.75,16.57,16.48,550.99,0.01,0.04,161.55,2.32,197.13,1.80,2.16,0.86
ENE,26.60,17.29,74.09,6.7 ,0.72,2.64,17.23,17.17,550.28,0.01,0.04,210.74,3.02,269.72,2.33,2.94,0.8555
FEB,32.80,17.28,65.39,6.41,0.81,3.26,16.90,16.80,551.15,0.00,0.01,203.98,2.92,240.53,2.29,2.62,0.86
